transaction_id,product_id,price,discount_percent,refund_flag,salesperson_id,region,profit_margin,opportunity_label,shap_dict
0,39,4824.0,12.385018596975366,0,13,East,382.1797303976285,0,"{'price': np.float32(3.170247), 'discount_percent': np.float32(-3.5747304), 'refund_flag': np.float32(-3.1618986), 'profit_margin': np.float32(-0.32796738)}"
1,29,3095.0,-1.3845634904980364,0,6,North,914.5523889821518,0,"{'price': np.float32(-1.047798), 'discount_percent': np.float32(0.971639), 'refund_flag': np.float32(-4.3569374), 'profit_margin': np.float32(1.5680437)}"
2,15,1419.0,11.237488984186054,0,3,East,127.77856557511592,0,"{'price': np.float32(-1.6997089), 'discount_percent': np.float32(-4.2086906), 'refund_flag': np.float32(-3.0711007), 'profit_margin': np.float32(-0.5954149)}"
3,43,505.0,21.25227383908135,0,14,North,93.609564965834,0,"{'price': np.float32(1.0121707), 'discount_percent': np.float32(-0.72226727), 'refund_flag': np.float32(-4.5321445), 'profit_margin': np.float32(-0.15336977)}"
4,8,967.0,16.626345255191655,0,14,South,150.4971411929946,0,"{'price': np.float32(-1.258361), 'discount_percent': np.float32(-2.5945508), 'refund_flag': np.float32(-3.843139), 'profit_margin': np.float32(-0.6843759)}"
5,21,4670.0,12.110065803534845,1,8,South,1112.799869769413,1,"{'price': np.float32(2.6116266), 'discount_percent': np.float32(-2.6599028), 'refund_flag': np.float32(4.5387645), 'profit_margin': np.float32(3.1676211)}"
6,39,503.0,4.7030393476502805,0,13,North,90.35548149428732,0,"{'price': np.float32(1.4309498), 'discount_percent': np.float32(-2.2106745), 'refund_flag': np.float32(-4.4318748), 'profit_margin': np.float32(-0.23110677)}"
7,19,1145.0,12.38776858062823,1,6,East,184.2201157086227,0,"{'price': np.float32(-1.5490679), 'discount_percent': np.float32(-4.36603), 'refund_flag': np.float32(3.5873654), 'profit_margin': np.float32(-1.1868503)}"
8,23,617.0,13.698749699391294,1,13,South,52.64324190436703,1,"{'price': np.float32(2.7867107), 'discount_percent': np.float32(-2.1372793), 'refund_flag': np.float32(4.8696575), 'profit_margin': np.float32(-0.18158774)}"
9,11,3428.0,8.731266595862081,0,11,West,286.4547353845032,0,"{'price': np.float32(-1.7104095), 'discount_percent': np.float32(-3.3802176), 'refund_flag': np.float32(-3.2975574), 'profit_margin': np.float32(-1.1460036)}"
10,11,3051.0,11.583710294022188,0,13,South,752.9549798900019,0,"{'price': np.float32(-1.2984174), 'discount_percent': np.float32(-3.883912), 'refund_flag': np.float32(-3.7684646), 'profit_margin': np.float32(0.39991397)}"
